Month,Rig_count,Oil_prod_per_rig,total_oil_prod,Gas_prod_per_rig,total_gas_prod,total_gas_oil_ratio
2020-09-01,10,973.861699,417370.408,5374.9748,66997.9495,16.052395717522934
2020-10-01,11,1022.55478,394597.99,5643.72354,64122.2043,16.2500078370901
2020-11-01,12,1043.00588,430935.056,5756.59801,67694.5585,15.708761113182678
2020-12-01,13,1047.1779,416034.816,5779.6244,66613.92139999999,16.011621825419535
2021-01-01,17,1049.27225,408675.959,5791.18365,64738.4354,15.841018776443368
2021-02-01,17,1038.77953,295656.655,5721.68945,52931.8047,17.903133179938056
2021-03-01,16,1020.0815,394739.836,5607.25566,63327.6147,16.042874046287032
2021-04-01,20,997.639712,386330.759,5439.03799,63711.64269999999,16.491475559677088
2021-05-01,23,970.703439,383419.089,5275.86685,64265.35769999999,16.761126282890938
2021-06-01,25,944.494447,375691.038,5117.59084,63407.9926,16.877696347922996
2021-07-01,26,918.993096,369009.909,4964.06312,63577.679500000006,17.229260773048782
2021-08-01,30,894.180283,366408.834,4815.14122,63961.7075,17.456377020647928
2021-09-01,33,870.037415,381663.743,4670.68699,64345.73559999999,16.859273845144884
2021-10-01,39,846.546405,385423.066,4530.56638,64184.9797,16.65312363531455
2021-11-01,41,823.689652,376015.731,4394.64938,63720.5736,16.946252070501806
2021-12-01,45,801.450031,390714.76,4262.8099,62943.5866,16.109856356591187
2022-01-01,48,779.810881,383911.269,4134.92561,61362.81980000001,15.98359432371859
2022-02-01,50,758.755987,374191.997,4010.87784,61639.6773,16.472740677027364
2022-03-01,48,742.063355,380433.059,3890.5515,61563.4605,16.182468648183384
2022-04-01,48,727.222088,386926.196,3773.83496,61502.3054,15.895099901687711
2022-05-01,,722.131533,391210.763,3736.09661,61342.682799999995,15.680213481243102
2022-06-01,,717.076613,394916.311,3698.73564,61163.378099999994,15.48768090766451
